City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
149,Muravlenko,RU,2022-08-03 00:47:27,63.7898,74.523,59.67,60,9,5.23
150,Leh,IN,2022-08-03 00:46:31,34.1667,77.5833,58.44,56,22,5.5
151,Saint-Leu,RE,2022-08-03 00:46:40,-21.15,55.2833,65.32,76,0,11.45
152,Tateyama,JP,2022-08-03 00:47:28,34.9833,139.8667,84.02,82,100,10.42
153,Manali,IN,2022-08-03 00:47:28,13.1667,80.2667,82.49,86,100,5.01
154,Kahului,US,2022-08-03 00:47:28,20.8947,-156.47,84.22,64,75,19.57
155,Uarini,BR,2022-08-03 00:47:29,-2.99,-65.1083,74.08,96,100,1.77
156,Lumberton,US,2022-08-03 00:44:37,34.6182,-79.0086,91.71,47,50,4.56
157,Puerto Del Rosario,ES,2022-08-03 00:47:30,28.5004,-13.8627,76.75,69,0,16.11
158,Nioro,GM,2022-08-03 00:47:30,13.35,-15.75,76.62,91,100,3.83
159,Upernavik,GL,2022-08-03 00:47:31,72.7868,-56.1549,44.65,81,73,1.81
160,Zhigansk,RU,2022-08-03 00:47:31,66.7697,123.3711,51.91,54,81,18.88
161,Port Elizabeth,ZA,2022-08-03 00:46:10,-33.918,25.5701,62.31,62,0,1.99
162,Sechura,PE,2022-08-03 00:47:35,-5.5569,-80.8222,66.07,77,0,13.27
163,Turukhansk,RU,2022-08-03 00:47:35,65.8167,87.9833,56.59,46,5,8.79
164,Westport,US,2022-08-03 00:44:09,41.1415,-73.3579,84.85,79,20,6.91
165,Castro,BR,2022-08-03 00:46:05,-24.7911,-50.0119,58.96,66,0,3.51
166,Lamu,KE,2022-08-03 00:47:36,-2.2717,40.902,73.62,81,16,17.69
167,Shieli,KZ,2022-08-03 00:47:37,44.1667,66.75,72.27,52,49,4.63
168,Puerto Ayora,EC,2022-08-03 00:47:37,-0.7393,-90.3518,70.56,86,31,10.0
169,Chenove,FR,2022-08-03 00:47:37,47.2932,5.0046,69.22,56,0,4.61
170,Jardim,BR,2022-08-03 00:47:38,-21.4803,-56.1381,73.17,38,2,2.82
171,Te Anau,NZ,2022-08-03 00:47:38,-45.4167,167.7167,48.7,78,76,8.84
172,Rorvik,NO,2022-08-03 00:47:39,64.8621,11.2373,56.8,76,100,11.59
173,Codrington,AU,2022-08-03 00:47:39,-38.2667,141.9667,57.96,70,35,21.5
174,Cururupu,BR,2022-08-03 00:47:40,-1.8283,-44.8683,74.35,90,6,3.31
175,Saint-Joseph,RE,2022-08-03 00:47:40,-21.3667,55.6167,64.78,81,49,9.91
176,Trinidad,BO,2022-08-03 00:47:40,-14.8333,-64.9,79.77,54,97,3.42
177,Linxia,CN,2022-08-03 00:47:41,35.6003,103.2064,72.86,67,6,3.42
178,Hilo,US,2022-08-03 00:47:41,19.7297,-155.09,81.25,81,100,8.05
179,Sena Madureira,BR,2022-08-03 00:47:42,-9.0656,-68.6569,80.26,64,61,1.28
180,Monte Mor,BR,2022-08-03 00:47:42,-22.9467,-47.3158,71.26,49,0,8.05
181,Arman,RU,2022-08-03 00:47:43,59.7,150.1667,61.02,80,94,7.02
182,Chokurdakh,RU,2022-08-03 00:47:43,70.6333,147.9167,55.99,48,100,7.58
183,Sitka,US,2022-08-03 00:47:43,57.0531,-135.33,55.29,88,100,3.44
184,Grindavik,IS,2022-08-03 00:47:44,63.8424,-22.4338,49.95,76,75,17.27
185,Platanos,GR,2022-08-03 00:47:44,37.6667,21.6167,78.57,70,0,4.18
186,Carnarvon,AU,2022-08-03 00:47:29,-24.8667,113.6333,68.58,58,56,19.39
187,Santiago Del Estero,AR,2022-08-03 00:43:45,-27.7951,-64.2615,70.0,47,100,13.82
188,Buncrana,IE,2022-08-03 00:48:45,55.1333,-7.45,58.1,80,100,17.27
189,Bengkulu,ID,2022-08-03 00:48:46,-3.8004,102.2655,76.15,88,100,3.62
190,Hambantota,LK,2022-08-03 00:48:46,6.1241,81.1185,77.34,88,75,13.8
191,Coruripe,BR,2022-08-03 00:48:47,-10.1256,-36.1756,73.71,90,100,12.44
192,Tezu,IN,2022-08-03 00:48:47,27.9167,96.1667,80.1,89,100,1.1
193,Ambon,ID,2022-08-03 00:46:34,-3.6954,128.1814,82.54,78,40,2.3
194,Antofagasta,CL,2022-08-03 00:46:03,-23.65,-70.4,58.28,86,49,3.33
195,Ahipara,NZ,2022-08-03 00:48:48,-35.1667,173.1667,61.95,70,100,2.98
196,Faanui,PF,2022-08-03 00:48:49,-16.4833,-151.75,78.42,68,2,22.46
197,Severo-Kurilsk,RU,2022-08-03 00:48:49,50.6789,156.125,56.39,76,13,6.76
198,Nalut,LY,2022-08-03 00:48:49,30.3333,10.85,84.4,32,8,12.28
199,Santa Maria,BR,2022-08-03 00:48:50,-29.6842,-53.8069,56.5,100,100,6.91
200,Nanfeng,CN,2022-08-03 00:48:50,23.7434,111.7959,79.36,90,100,1.12
201,Angoche,MZ,2022-08-03 00:48:51,-16.2325,39.9086,71.42,80,0,8.3
202,Bedele,ET,2022-08-03 00:48:51,8.456,36.353,50.68,97,26,1.99
203,Casper,US,2022-08-03 00:48:00,42.8666,-106.3131,77.59,38,20,5.75
204,Tiksi,RU,2022-08-03 00:47:56,71.6872,128.8694,40.08,85,100,5.86
205,Wabash,US,2022-08-03 00:48:52,40.7978,-85.8205,82.92,81,0,7.18
206,Arlit,NE,2022-08-03 00:48:53,18.7369,7.3853,92.21,30,1,8.21
207,Khandyga,RU,2022-08-03 00:48:53,62.6667,135.6,65.53,90,100,4.65
208,Luderitz,NA,2022-08-03 00:48:14,-26.6481,15.1594,53.51,80,0,4.85
209,Poum,NC,2022-08-03 00:48:54,-20.2333,164.0167,75.04,87,5,16.98
210,Itarema,BR,2022-08-03 00:48:54,-2.9248,-39.9167,78.01,83,10,11.72
211,Chuy,UY,2022-08-03 00:47:34,-33.6971,-53.4616,53.85,95,88,6.96
212,Saint George,US,2022-08-03 00:45:13,37.1041,-113.5841,97.39,29,0,20.71
213,Placerville,US,2022-08-03 00:45:18,38.7296,-120.7986,97.63,30,0,6.91
